G o. </w>	Va </w> ! </w>
Nobody </w> came. </w>	Personne </w> n'est </w> venu. </w>
Nobody </w> came. </w>	Personne </w> ne </w> vin t. </w>
Nobody </w> died. </w>	Personne </w> n'est </w> mort. </w>
Now </w> I'm </w> sad. </w>	Maintenant </w> je </w> suis </w> attr ist é. </w>
Now </w> we </w> wait. </w>	Maintenant </w> nous </w> attend ons. </w>
OK. </w> I </w> agree. </w>	B ien. </w> Je </w> suis </w> d’ accord. </w>
Oh, </w> come </w> on. </w>	Oh, </w> viens. </w>
Pick </w> a </w> card. </w>	P io che </w> une </w> carte </w> ! </w>
Pick </w> a </w> card. </w>	P io chez </w> une </w> carte </w> ! </w>
Pick </w> a </w> date. </w>	Choisissez </w> une </w> date </w> ! </w>
Pick </w> a </w> date. </w>	Choisis </w> une </w> date </w> ! </w>
Plants </w> grow. </w>	Les </w> plantes </w> pous sent. </w>
Plants </w> grow. </w>	Les </w> plantes </w> crois sent. </w>
Please </w> come. </w>	Vien s, </w> s'il </w> te </w> plait. </w>
Please </w> come. </w>	S'il </w> te </w> plait, </w> viens. </w>
Please </w> come. </w>	Venez , </w> je </w> vous </w> prie. </w>
Please </w> come. </w>	Veuillez </w> venir. </w>
Please </w> sing. </w>	Chan te, </w> je </w> te </w> prie </w> ! </w>
Please </w> sing. </w>	Chan tez , </w> je </w> vous </w> prie </w> ! </w>
Please </w> sing. </w>	S'il </w> te </w> plaît, </w> chante </w> ! </w>
Please </w> sing. </w>	S'il </w> vous </w> plaît, </w> chan tez </w> ! </w>
Please </w> sing. </w>	Veuillez </w> chanter </w> ! </w>
Please </w> stay. </w>	Res te, </w> s'il </w> te </w> plaît. </w>
Please </w> stay. </w>	Restez , </w> s'il </w> vous </w> plaît. </w>
Please </w> stop. </w>	S'il </w> te </w> plaît, </w> arrê te. </w>
Please </w> stop. </w>	S'il </w> vous </w> plaît, </w> arrête z. </w>
Please </w> stop. </w>	Arrêtez , </w> s'il </w> vous </w> plaît. </w>
Please </w> stop. </w>	Arrê te, </w> s'il </w> te </w> plaît. </w>
Please </w> stop. </w>	Veuillez </w> arrêter. </w>
Please </w> stop. </w>	Merci </w> d' arrêter. </w>
Put </w> it </w> back. </w>	Remets -le </w> en </w> place </w> ! </w>
Put </w> it </w> down. </w>	Laisse-le </w> ! </w>
Put </w> it </w> down. </w>	Pose -le </w> ! </w>
Re lease </w> him. </w>	R el âche -le </w> ! </w>
Re lease </w> him. </w>	R el âchez -le </w> ! </w>
Remember </w> it. </w>	Sou viens -en -toi. </w>
Remember </w> it. </w>	Sou venez-vous - en. </w>
Say </w> goodbye. </w>	Dis </w> au </w> revoir. </w>
Say </w> goodbye. </w>	Dites </w> au </w> revoir. </w>
Send </w> him </w> in. </w>	En voie -le </w> ! </w>
Send </w> him </w> in. </w>	En voyez -le </w> ! </w>
Shall </w> we </w> go? </w>	Y </w> allons-nous </w> ? </w>
She </w> blushed. </w>	Elle </w> a </w> roug i. </w>
She </w> fainted. </w>	Elle </w> est </w> tombée </w> dans </w> les </w> pommes. </w>
She </w> hit </w> him. </w>	Elle </w> le </w> frapp a. </w>
She </w> hit </w> him. </w>	Elle </w> l'a </w> frapp é. </w>
She </w> is </w> cur t. </w>	Elle </w> n'a </w> pas </w> de </w> char me. </w>
She </w> is </w> dead. </w>	Elle </w> est </w> morte. </w>
She </w> is </w> kind. </w>	Elle </w> est </w> gentille. </w>
She </w> is </w> late. </w>	Elle </w> est </w> en </w> retard. </w>
She </w> woke </w> up. </w>	Elle </w> se </w> réve ille. </w>
She's </w> a </w> dog. </w>	C'est </w> une </w> en foir ée. </w>
She's </w> a </w> fox. </w>	C'est </w> un </w> ren ard. </w>
Should </w> I </w> go? </w>	Devrais-je </w> y </w> aller </w> ? </w>
Should </w> I </w> go? </w>	Devrais-je </w> partir </w> ? </w>
Sleep </w> tight. </w>	D ors </w> bien. </w>
Sleep </w> tight. </w>	Dor me z </w> bien. </w>
Stand </w> aside. </w>	Reste </w> à </w> l'é car t. </w>
Stand </w> aside. </w>	Restez </w> à </w> l'é car t. </w>
Stand </w> aside. </w>	É carte -toi. </w>
Stand </w> aside. </w>	É carte z-vous . </w>
Stand </w> still! </w>	Pas </w> un </w> geste </w> ! </w>
Stand </w> still! </w>	Tiens-toi </w> tranquille </w> ! </w>
Stay </w> in </w> bed. </w>	Reste </w> au </w> lit </w> ! </w>
Stay </w> in </w> bed. </w>	Restez </w> au </w> lit </w> ! </w>
Stay </w> in </w> bed. </w>	Reste </w> alité </w> ! </w>
Stay </w> in </w> bed. </w>	Reste </w> alit ée </w> ! </w>
Stay </w> in </w> bed. </w>	Restez </w> alité </w> ! </w>
Stay </w> in </w> bed. </w>	Restez </w> alit ée </w> ! </w>
Stay </w> in </w> bed. </w>	Restez </w> alit és </w> ! </w>
Stay </w> in </w> bed. </w>	Restez </w> alit ées </w> ! </w>
Stay </w> inside. </w>	Reste </w> à </w> l'intérieur </w> ! </w>
Step </w> inside. </w>	Av ance </w> à </w> l'intérieur. </w>
Step </w> inside. </w>	Av ance z </w> à </w> l'intérieur. </w>
Stop </w> crying. </w>	Arrête </w> de </w> pleurer </w> ! </w>
Stop </w> crying. </w>	Arrêtez </w> de </w> pleurer </w> ! </w>
Stop </w> trying. </w>	Arrête </w> d'essayer. </w>
Take </w> a </w> bite. </w>	Cro que </w> ! </w>
Take </w> a </w> bite. </w>	Prends </w> une </w> bouch ée </w> ! </w>
Take </w> a </w> bite. </w>	Prenez </w> une </w> bouch ée </w> ! </w>
Take </w> a </w> bite. </w>	Cro quez </w> ! </w>
Take </w> a </w> card. </w>	Prends </w> une </w> carte. </w>
Take </w> a </w> card. </w>	Prenez </w> une </w> carte. </w>
Take </w> a </w> look. </w>	Regarde </w> ! </w>
Take </w> a </w> look. </w>	Regardez </w> ! </w>
Take </w> a </w> look. </w>	Jette </w> un </w> œil </w> ! </w>
Take </w> a </w> look. </w>	Je tez </w> un </w> œil </w> ! </w>
Take </w> a </w> rest. </w>	Re posez-vous . </w>
Take </w> a </w> rest. </w>	Re pose -toi. </w>
Take </w> a </w> seat. </w>	Assieds-toi </w> ! </w>
Take </w> a </w> seat. </w>	Asseyez-vous </w> ! </w>
Take </w> a </w> seat. </w>	Prenez </w> place </w> ! </w>
Take </w> a </w> seat. </w>	Prends </w> place </w> ! </w>
Take </w> a </w> seat. </w>	Assieds -toi. </w>
Take </w> a </w> walk. </w>	Va </w> marcher </w> ! </w>
Take </w> a </w> walk. </w>	Allez </w> marcher </w> ! </w>
Take </w> it </w> all. </w>	Prends </w> tout </w> ! </w>
Take </w> it </w> all. </w>	Prenez </w> tout </w> ! </w>
That </w> helped. </w>	Cela </w> a </w> aidé. </w>
That </w> is </w> all. </w>	C'est </w> tout. </w>
That </w> worked. </w>	Ça </w> a </w> fonctionné. </w>
That </w> worked. </w>	Ça </w> a </w> marché. </w>
That's </w> cool. </w>	C'est </w> super. </w>
That's </w> cool. </w>	C'est </w> cool. </w>
That's </w> easy. </w>	C'est </w> simple. </w>
That's </w> free. </w>	C'est </w> gratuit. </w>
That's </w> hard. </w>	C'est </w> dur. </w>
That's </w> hers. </w>	Ce </w> sont </w> les </w> si ens. </w>
That's </w> hers. </w>	C'est </w> le </w> sien. </w>
That's </w> hers. </w>	C'est </w> la </w> sienne. </w>
That's </w> hers. </w>	C'est </w> à </w> elle. </w>
That's </w> icky. </w>	C'est </w> coll ant. </w>
That's </w> icky. </w>	C'est </w> g n ang n an. </w>
That's </w> la me. </w>	C'est </w> min able. </w>
That's </w> la me. </w>	C'est </w> faible. </w>
That's </w> mine. </w>	C'est </w> le </w> mien. </w>
That's </w> mine. </w>	C'est </w> la </w> mienne. </w>
That's </w> true. </w>	C'est </w> exact. </w>
That's </w> true. </w>	C'est </w> juste. </w>
That's </w> ugly. </w>	C'est </w> laid. </w>
That's </w> wise. </w>	C'est </w> sage. </w>
The </w> TV 's </w> on. </w>	La </w> télé </w> est </w> allum ée. </w>
There </w> he </w> is. </w>	Le </w> voilà . </w>
There </w> he </w> is. </w>	Le </w> voici. </w>
There </w> it </w> is. </w>	Il </w> est </w> là. </w>
They </w> burned. </w>	Ils </w> ont </w> brû lé. </w>
They </w> burned. </w>	Elles </w> ont </w> brû lé. </w>
They </w> got </w> it. </w>	Ils </w> l'ont </w> eu. </w>
They </w> got </w> it. </w>	Ils </w> l'ont </w> eu e. </w>
They </w> hug ged. </w>	Ils </w> se </w> sont </w> en la cés. </w>
They </w> hug ged. </w>	Elles </w> se </w> sont </w> en la cé es. </w>
They </w> kissed. </w>	Ils </w> se </w> sont </w> embrass és. </w>
They </w> obe yed. </w>	Ils </w> ont </w> obé i. </w>
They </w> obe yed. </w>	Elles </w> ont </w> obé i. </w>
They </w> smiled. </w>	Ils </w> ont </w> sour i. </w>
They </w> smiled. </w>	Elles </w> ont </w> sour i. </w>
They're </w> bad. </w>	Ils </w> sont </w> mauvais. </w>
They're </w> bad. </w>	Elles </w> sont </w> mauvaises. </w>
They're </w> old. </w>	Ils </w> sont </w> vieux. </w>
They're </w> old. </w>	Elles </w> sont </w> vie illes. </w>
This </w> is </w> bad. </w>	Ça </w> pu e. </w>
This </w> is </w> bad. </w>	C'est </w> pas </w> bon. </w>
This </w> is </w> bad. </w>	Ce </w> n'est </w> pas </w> bon. </w>
This </w> is </w> bad. </w>	C'est </w> mauvais. </w>
This </w> is </w> big. </w>	C'est </w> gros. </w>
This </w> is </w> big. </w>	C'est </w> grand. </w>
This </w> is </w> fun. </w>	C'est </w> amusant. </w>
This </w> is </w> his. </w>	C'est </w> le </w> sien. </w>
This </w> is </w> his. </w>	C'est </w> la </w> sienne. </w>
This </w> is </w> new. </w>	C'est </w> nouveau. </w>
This </w> is </w> new. </w>	C'est </w> neuf. </w>
This </w> is </w> odd. </w>	C'est </w> bizarre. </w>
This </w> stink s. </w>	Ça </w> pu e. </w>
Tom </w> blin ked. </w>	Tom </w> a </w> c lig né </w> des </w> yeux. </w>
Tom </w> changed. </w>	Tom </w> a </w> changé. </w>
Tom </w> coug hed. </w>	Thomas </w> tous so t a. </w>
Tom </w> drowned. </w>	Tom </w> se </w> noy a. </w>
Tom </w> drowned. </w>	Tom </w> s'est </w> noyé. </w>
Tom </w> in ha led. </w>	Tom </w> inspir a. </w>
Tom </w> is </w> bald. </w>	Tom </w> est </w> chau ve. </w>
Tom </w> is </w> dead. </w>	Tom </w> est </w> mort. </w>
Tom </w> is </w> lazy. </w>	Tom </w> est </w> paresseux. </w>
Tom </w> is </w> nuts. </w>	Tom </w> est </w> malade </w> ment al. </w>
Tom </w> is </w> rude. </w>	Tom </w> est </w> impoli . </w>
Tom </w> is </w> slow. </w>	Tom </w> est </w> lent. </w>
Tom </w> is </w> tall. </w>	Tom </w> est </w> grand. </w>
Tom </w> is </w> weak. </w>	Tom </w> est </w> faible. </w>
Tom </w> is </w> wise. </w>	Tom </w> est </w> raisonnable. </w>
Tom </w> laughed. </w>	Tom </w> rit. </w>
Tom </w> left </w> me. </w>	Tom </w> m’ a </w> quitté. </w>
Tom </w> left </w> me. </w>	Tom </w> m’ a </w> quitté e. </w>
Tom </w> listen s. </w>	Tom </w> écoute. </w>
Tom </w> refused. </w>	Tom </w> a </w> refus é. </w>
Tom </w> said </w> no. </w>	Tom </w> a </w> dit </w> non. </w>
Tom </w> swe ated. </w>	Tom </w> a </w> transpir é. </w>
Tom </w> took </w> it. </w>	Tom </w> l'a </w> pris. </w>
Tom'll </w> call. </w>	Tom </w> appeller a. </w>
Tom'll </w> come. </w>	Tom </w> va </w> venir. </w>
Tom'll </w> come. </w>	Tom </w> viendra. </w>
Tom'll </w> quit. </w>	Tom </w> va </w> démissionner. </w>
Tom'll </w> quit. </w>	Tom </w> va </w> arrêter. </w>
Tom's </w> alive. </w>	Tom </w> est </w> vivant. </w>
Tom's </w> alive. </w>	Tom </w> est </w> en </w> vie. </w>
Tom's </w> alone. </w>	Tom </w> est </w> tout </w> seul. </w>
Tom's </w> alone. </w>	Tom </w> est </w> seul. </w>
Tom's </w> angry. </w>	Tom </w> est </w> en </w> colère. </w>
Tom's </w> awake. </w>	Tom </w> est </w> réveillé. </w>
Tom's </w> bored. </w>	Tom </w> s' ennu ie. </w>
Tom's </w> crazy. </w>	Tom </w> est </w> dérangé. </w>
Tom's </w> drunk. </w>	Tom </w> est </w> saoul. </w>
Tom's </w> drunk. </w>	Tom </w> est </w> ivre. </w>
Tom's </w> dying. </w>	Thomas </w> est </w> mour ant. </w>
Tom's </w> funny. </w>	Tom </w> est </w> drôle. </w>
Tom's </w> funny. </w>	Tom </w> est </w> rig olo . </w>
Tom's </w> funny. </w>	Tom </w> est </w> marrant. </w>
Tom's </w> lucky. </w>	Tom </w> est </w> chanceux. </w>
Tom's </w> lying. </w>	Tom </w> ment. </w>
Tom's </w> sorry. </w>	Tom </w> est </w> désolé. </w>
Tom's </w> wrong. </w>	Tom </w> a </w> tort. </w>
Try </w> to </w> rest. </w>	Essayez </w> de </w> vous </w> reposer. </w>
Turn </w> around. </w>	Faites </w> demi -t our. </w>
Turn </w> around. </w>	Fais </w> demi -t our. </w>
Turn </w> it </w> off. </w>	Éteins -le </w> ! </w>
Turn </w> it </w> off. </w>	Éteignez -le </w> ! </w>
Wait </w> for </w> us. </w>	Attends -nous </w> ! </w>
Wait </w> for </w> us. </w>	Attendez -nous </w> ! </w>
Wake </w> Tom </w> up. </w>	Réveille </w> Tom </w> ! </w>
Walk </w> slowly. </w>	Mar che </w> lentement. </w>
Walk </w> slowly. </w>	Mar chez </w> lentement. </w>
War </w> is </w> evil. </w>	La </w> guerre </w> est </w> mauvaise. </w>
War </w> is </w> hell. </w>	La </w> guerre , </w> c'est </w> l' enf er. </w>
Was </w> I </w> wrong? </w>	Est-ce </w> que </w> j'avais </w> tort </w> ? </w>
Was </w> I </w> wrong? </w>	A vais -je </w> tort </w> ? </w>
Was </w> I </w> wrong? </w>	Ai-je </w> eu </w> tort </w> ? </w>
Was </w> it </w> good? </w>	Était-ce </w> bon </w> ? </w>
Was </w> it </w> good? </w>	C'était </w> bon </w> ? </w>
We </w> all </w> know. </w>	Nous </w> le </w> savons </w> tous. </w>
We </w> all </w> know. </w>	Nous </w> le </w> savons </w> toutes. </w>
We </w> all </w> quit. </w>	Nous </w> démission nons </w> tous. </w>
We </w> all </w> quit. </w>	Nous </w> démission nons </w> toutes. </w>
We </w> all </w> quit. </w>	Nous </w> arrêt ons </w> toutes. </w>
We </w> all </w> quit. </w>	Nous </w> arrêt ons </w> tous. </w>
We </w> all </w> work. </w>	Nous </w> travaillons </w> tous. </w>
We </w> all </w> work. </w>	Nous </w> travaillons </w> toutes. </w>
We </w> are </w> boys. </w>	Nous </w> sommes </w> des </w> garçons. </w>
We </w> are </w> e ven. </w>	Nous </w> sommes </w> quitt es. </w>
We </w> are </w> e ven. </w>	Nous </w> sommes </w> à </w> égal ité. </w>
We </w> are </w> here. </w>	Nous </w> sommes </w> ici. </w>
We </w> are </w> here. </w>	Nous </w> y </w> sommes. </w>
We </w> are </w> late. </w>	Nous </w> sommes </w> en </w> retard. </w>
We </w> broke </w> up. </w>	Nous </w> nous </w> sommes </w> sépar és. </w>
We </w> broke </w> up. </w>	Nous </w> nous </w> sommes </w> sépar ées. </w>
We </w> broke </w> up. </w>	Nous </w> nous </w> sépar â mes. </w>
We </w> broke </w> up. </w>	Nous </w> éclat âmes </w> de </w> rire. </w>
We </w> broke </w> up. </w>	Nous </w> avons </w> éclaté </w> de </w> rire. </w>
We </w> broke </w> up. </w>	Nous </w> avons </w> rompu . </w>
We </w> can </w> meet. </w>	Nous </w> pouvons </w> nous </w> rencontrer. </w>
We </w> can </w> talk. </w>	Nous </w> pouvons </w> discuter. </w>
We </w> can </w> wait. </w>	Nous </w> pouvons </w> attendre. </w>
We </w> can't </w> go. </w>	Nous </w> ne </w> pouvons </w> y </w> aller. </w>
We </w> can't </w> go. </w>	Nous </w> ne </w> pouvons </w> nous </w> y </w> rendre. </w>
We </w> can't </w> go. </w>	Nous </w> ne </w> pouvons </w> pas </w> y </w> aller. </w>
We </w> can't </w> go. </w>	Nous </w> ne </w> pouvons </w> pas </w> nous </w> y </w> rendre. </w>
We </w> can't </w> go. </w>	Nous </w> ne </w> pouvons </w> pas </w> partir. </w>
We </w> did </w> fine. </w>	Nous </w> nous </w> en </w> sommes </w> bien </w> tir és. </w>
We </w> did </w> fine. </w>	Nous </w> nous </w> en </w> sommes </w> bien </w> tir ées. </w>
We </w> did </w> that. </w>	Nous </w> avons </w> fait </w> cela. </w>
We </w> did </w> that. </w>	On </w> a </w> fait </w> ça. </w>
We </w> found </w> it. </w>	Nous </w> l'avons </w> trouvé. </w>
We </w> know </w> him. </w>	Nous </w> le </w> connais sons. </w>
We </w> know </w> him. </w>	On </w> le </w> connaît. </w>
We </w> like </w> Tom. </w>	Nous </w> aimons </w> bien </w> Tom. </w>
We </w> like </w> Tom. </w>	Nous </w> aimons </w> Tom. </w>
We </w> like </w> Tom. </w>	Nous </w> apprécions </w> Tom. </w>
We </w> like </w> him. </w>	Nous </w> l' appréc ions. </w>
We </w> like </w> him. </w>	Nous </w> l'ai mons </w> bien. </w>
We </w> miss </w> you. </w>	Tu </w> nous </w> man ques. </w>
We </w> miss </w> you. </w>	Vous </w> nous </w> manque z. </w>
We </w> must </w> act. </w>	Il </w> nous </w> faut </w> ag ir. </w>
We </w> must </w> run. </w>	Il </w> nous </w> faut </w> courir. </w>
We </w> must </w> try. </w>	Il </w> nous </w> faut </w> essayer. </w>
We </w> need </w> Tom. </w>	Nous </w> avons </w> besoin </w> de </w> Tom. </w>
We </w> need </w> you. </w>	On </w> a </w> besoin </w> de </w> toi. </w>
We </w> need </w> you. </w>	Nous </w> avons </w> besoin </w> de </w> vous. </w>
We </w> promised. </w>	Nous </w> prom î mes. </w>
We </w> promised. </w>	Nous </w> avons </w> promis. </w>
We </w> remember. </w>	Nous </w> nous </w> sou ven ons. </w>
We </w> remember. </w>	Nous </w> nous </w> en </w> sou ven ons. </w>
We </w> survived ! </w>	Nous </w> avons </w> survécu </w> ! </w>
We </w> survived. </w>	Nous </w> sur vé c û mes. </w>
We </w> survived. </w>	Nous </w> avons </w> survécu . </w>
We </w> want </w> Tom. </w>	Nous </w> voulons </w> Tom. </w>
We </w> want </w> one. </w>	Nous </w> en </w> voulons </w> un. </w>
We </w> want </w> one. </w>	Nous </w> en </w> voulons </w> une. </w>
We'll </w> check. </w>	Nous </w> vérifier ons. </w>
We'll </w> dance. </w>	Nous </w> danser ons. </w>
We'll </w> drive. </w>	Nous </w> condu ir ons. </w>
We'll </w> fight. </w>	Nous </w> combat tr ons. </w>
We'll </w> hurry. </w>	Nous </w> nous </w> dépêcher ons. </w>
We'll </w> share. </w>	Nous </w> partager ons. </w>
We'll </w> shoot. </w>	Nous </w> tirer ons. </w>
We'll </w> stand. </w>	Nous </w> nous </w> tiend rons </w> debout. </w>
We'll </w> start. </w>	Nous </w> commencer ons. </w>
We're </w> alone. </w>	Nous </w> sommes </w> seuls. </w>
We're </w> alone. </w>	Nous </w> sommes </w> seules. </w>
We're </w> angry. </w>	Nous </w> sommes </w> en </w> colère. </w>
We're </w> armed. </w>	Nous </w> sommes </w> armé s. </w>
We're </w> armed. </w>	Nous </w> sommes </w> armé es. </w>
We're </w> bored. </w>	Nous </w> nous </w> ennuy ons. </w>
We're </w> bored. </w>	On </w> s' em mer de. </w>
We're </w> broke. </w>	Nous </w> sommes </w> fauch és. </w>
We're </w> broke. </w>	Nous </w> sommes </w> fauch ées. </w>
We're </w> broke. </w>	On </w> est </w> fauch és. </w>
We're </w> dying. </w>	Nous </w> sommes </w> en </w> train </w> de </w> mourir. </w>
We're </w> early. </w>	Nous </w> sommes </w> en </w> avance. </w>
We're </w> going. </w>	Nous </w> y </w> all ons. </w>
We're </w> happy. </w>	Nous </w> sommes </w> heureux. </w>
We're </w> ready. </w>	Nous </w> sommes </w> prêtes. </w>
We're </w> saved. </w>	Nous </w> sommes </w> sauvés. </w>
We're </w> saved. </w>	Nous </w> sommes </w> sauvé es. </w>
We're </w> smart. </w>	Nous </w> sommes </w> intellig ents. </w>
We're </w> smart. </w>	Nous </w> sommes </w> intelligent es. </w>
We're </w> sorry. </w>	Nous </w> sommes </w> désolé s. </w>
We're </w> sorry. </w>	Nous </w> sommes </w> désolé es. </w>
We're </w> stuck. </w>	Nous </w> sommes </w> coincé s. </w>
We're </w> stuck. </w>	Nous </w> sommes </w> coincé es. </w>
We're </w> tired. </w>	Nous </w> sommes </w> fatigués. </w>
We're </w> tired. </w>	Nous </w> sommes </w> fatiguées. </w>
We're </w> twins. </w>	Nous </w> sommes </w> jume aux. </w>
We're </w> twins. </w>	Nous </w> sommes </w> jume lles. </w>
What </w> a </w> bore ! </w>	Quel </w> em mer de ur </w> ! </w>
What </w> a </w> bore ! </w>	Quelle </w> em mer de use </w> ! </w>
What </w> a </w> do pe ! </w>	Quelle </w> and ouille </w> ! </w>
What </w> a </w> do pe ! </w>	Quel </w> cou illon </w> ! </w>
What </w> a </w> drag ! </w>	Quel </w> bou let </w> ! </w>
What </w> a </w> du mp . </w>	Quel </w> tau dis </w> ! </w>
What </w> a </w> he el ! </w>	Quel </w> mal and rin </w> ! </w>
What </w> a </w> j erk ! </w>	Quel </w> cing lé </w> ! </w>
What </w> a </w> j erk ! </w>	Quel </w> na ze </w> ! </w>
What </w> a </w> joke ! </w>	Quelle </w> blague </w> ! </w>
What </w> a </w> loss ! </w>	Quelle </w> perte </w> ! </w>
What </w> a </w> mess ! </w>	Quel </w> bordel </w> ! </w>
What </w> a </w> mess ! </w>	Quelle </w> pag aille </w> ! </w>
What </w> a </w> pain ! </w>	Quelle </w> pla ie. </w>
What </w> a </w> pity ! </w>	D om mage </w> ! </w>
What </w> a </w> pity ! </w>	Quel </w> malheur </w> ! </w>
What </w> a </w> team ! </w>	Quelle </w> équipe </w> ! </w>
What </w> is </w> art? </w>	Qu'est-ce </w> que </w> l'art </w> ? </w>
What </w> was </w> it? </w>	Qu 'était -ce </w> ? </w>
What </w> was </w> it? </w>	Qu'est-ce </w> que </w> c'était </w> ? </w>
What </w> was </w> it? </w>	De </w> quoi </w> s'agissait -il </w> ? </w>
What </w> was </w> it? </w>	Qu'y </w> avait-il </w> ? </w>
What 'd </w> I </w> do? </w>	Que </w> ferais -je </w> ? </w>
What's </w> that? </w>	Qu'est-ce </w> que </w> c'est </w> que </w> ça </w> ? </w>
What's </w> that? </w>	Qu'est-ce </w> ? </w>
What's </w> that? </w>	Qu'est-ce </w> là </w> ? </w>
What's </w> that? </w>	Qu'est </w> cela </w> ? </w>
What's </w> this? </w>	Qu'est-ce </w> que </w> c'est </w> ? </w>
What's </w> this? </w>	C'est </w> quoi </w> ? </w>
What's </w> this? </w>	C'est </w> quoi, </w> ça </w> ? </w>
Where </w> is </w> he? </w>	Où </w> est-il </w> ? </w>
Where </w> is </w> it? </w>	Où </w> est-il </w> ? </w>
Where </w> is </w> it? </w>	Où </w> est-elle </w> ? </w>
Where </w> was </w> I? </w>	Où </w> en </w> étais -je </w> ? </w>
Where </w> was </w> I? </w>	Où </w> étais -je </w> ? </w>
Where's </w> Tom? </w>	Où </w> est </w> Tom </w> ? </w>
Who </w> are </w> you? </w>	Qui </w> es-tu </w> ? </w>
Who </w> are </w> you? </w>	Qui </w> êtes-vous </w> ? </w>
Who </w> are </w> you? </w>	T'es </w> qui </w> toi </w> ? </w>
Who </w> cheated ? </w>	Qui </w> a </w> trich é </w> ? </w>
Who </w> drew </w> it? </w>	Qui </w> l'a </w> dessin é </w> ? </w>
Who </w> escaped ? </w>	Qui </w> s'est </w> échappé </w> ? </w>
Who </w> is </w> next? </w>	À </w> qui </w> le </w> tour </w> ? </w>
Who's </w> going? </w>	Qui </w> va </w> y </w> aller </w> ? </w>
Who's </w> there? </w>	Qui </w> est </w> là </w> ? </w>
Whose </w> is </w> it? </w>	À </w> qui </w> est-ce </w> ? </w>
Whose </w> is </w> it? </w>	C'est </w> à </w> qui </w> ? </w>
Will </w> it </w> fit? </w>	Cela </w> ir a-t-il </w> ? </w>
Will </w> it </w> fit? </w>	Cela </w> passer a-t-il </w> ? </w>
Will </w> it </w> fit? </w>	Cela </w> s' adap ter a-t-il </w> ? </w>
Will </w> you </w> go? </w>	I rez-vous </w> ? </w>
Will </w> you </w> go? </w>	Ir as-tu </w> ? </w>
Will </w> you </w> go? </w>	T' y </w> rend ras-tu </w> ? </w>
Will </w> you </w> go? </w>	Vous </w> y </w> rendre z-vous </w> ? </w>
Work </w> slowly. </w>	Travaille </w> lentement </w> ! </w>
Work </w> slowly. </w>	Travaille z </w> lentement </w> ! </w>
You </w> are </w> big. </w>	Tu </w> es </w> grand. </w>
You </w> are </w> big. </w>	Tu </w> es </w> grande. </w>
You </w> are </w> big. </w>	Vous </w> êtes </w> grand. </w>
You </w> are </w> big. </w>	Vous </w> êtes </w> grande. </w>
You </w> are </w> big. </w>	Vous </w> êtes </w> grand s. </w>
You </w> are </w> big. </w>	Vous </w> êtes </w> grand es. </w>
You </w> are </w> mad. </w>	Tu </w> es </w> fou. </w>
You </w> cheated. </w>	Tu </w> as </w> trich é. </w>
You </w> cheated. </w>	Vous </w> avez </w> trich é. </w>
You </w> fainted. </w>	Vous </w> vous </w> êtes </w> évan oui. </w>
You </w> fainted. </w>	Vous </w> vous </w> êtes </w> évanou ie. </w>
You </w> hurt </w> me. </w>	Tu </w> me </w> fais </w> mal. </w>
You </w> hurt </w> me. </w>	Vous </w> me </w> faites </w> mal. </w>
You </w> may </w> sit. </w>	Vous </w> pouvez </w> vous </w> asseoir. </w>
You </w> may </w> sit. </w>	Tu </w> peux </w> t' asseoir. </w>
You </w> must </w> go. </w>	Il </w> faut </w> que </w> tu </w> t'en </w> ailles. </w>
You </w> must </w> go. </w>	Tu </w> dois </w> y </w> aller. </w>
You </w> must </w> go. </w>	Tu </w> dois </w> partir. </w>
You </w> must </w> go. </w>	Tu </w> dois </w> t'en </w> aller. </w>
You </w> woke </w> me. </w>	Vous </w> m'avez </w> réveillée. </w>
You're </w> back. </w>	Tu </w> es </w> de </w> retour. </w>
You're </w> back. </w>	Vous </w> êtes </w> de </w> retour. </w>
You're </w> cool. </w>	T'es </w> sympa. </w>
You're </w> cool. </w>	T'es </w> dé contract é. </w>
You're </w> fair. </w>	Tu </w> es </w> juste. </w>
You're </w> fair. </w>	Vous </w> êtes </w> juste. </w>
You're </w> fair. </w>	Vous </w> êtes </w> just es. </w>
You're </w> fine. </w>	Tu </w> vas </w> bien. </w>
You're </w> free. </w>	Tu </w> es </w> libre. </w>
You're </w> free. </w>	Vous </w> êtes </w> libres. </w>
You're </w> free. </w>	Vous </w> êtes </w> libre. </w>
You're </w> good. </w>	Vous </w> êtes </w> bon. </w>
You're </w> good. </w>	Vous </w> êtes </w> bonne. </w>
You're </w> good. </w>	Vous </w> êtes </w> bons. </w>
You're </w> good. </w>	Vous </w> êtes </w> bonnes. </w>
You're </w> good. </w>	Tu </w> es </w> bon. </w>
You're </w> good. </w>	Tu </w> es </w> bonne. </w>
You're </w> good. </w>	T'es </w> bon. </w>
You're </w> good. </w>	T'es </w> bonne. </w>
You're </w> kind. </w>	Tu </w> es </w> gentil. </w>
You're </w> kind. </w>	Tu </w> es </w> gentille. </w>
You're </w> late. </w>	Tu </w> es </w> en </w> retard. </w>
You're </w> late. </w>	Vous </w> êtes </w> en </w> retard. </w>
You're </w> lazy. </w>	Tu </w> es </w> paresseux. </w>
You're </w> lazy. </w>	Tu </w> es </w> par es seuse. </w>
You're </w> lazy. </w>	Vous </w> êtes </w> paresseux. </w>
You're </w> lazy. </w>	Vous </w> êtes </w> paresse uses. </w>
